,position_corr,Ca,Si,Fe,Sr,Ti,clusters
0,178.0,82461,648,41150,9044,2102,1.0
1,180.0,73028,611,48649,8505,1990,
2,182.0,71085,503,50521,8982,3004,
3,184.0,80380,483,52353,9728,2446,
4,186.0,76594,543,47609,9645,1954,
5,188.0,80174,878,47040,8641,2837,
6,190.0,85448,972,43683,8008,1986,0.0
7,190.0,85448,972,43683,8008,1986,0.0
8,190.0,85448,972,43683,8008,1986,0.0
9,190.0,85448,972,43683,8008,1986,0.0
10,190.0,85448,972,43683,8008,1986,0.0
11,190.0,85448,972,43683,8008,1986,1.0
12,192.0,68953,565,38864,8176,1820,
13,194.0,95159,949,49346,9003,3256,1.0
14,194.0,95159,949,49346,9003,3256,1.0
15,194.0,95159,949,49346,9003,3256,0.0
16,194.0,95159,949,49346,9003,3256,0.0
17,194.0,95159,949,49346,9003,3256,0.0
18,194.0,95159,949,49346,9003,3256,0.0
19,196.0,98652,899,53615,8819,2384,
20,198.0,83410,807,47315,9006,2315,1.0
21,198.0,83410,807,47315,9006,2315,0.0
22,198.0,83410,807,47315,9006,2315,0.0
23,200.0,95645,964,52088,9412,2544,1.0
24,200.0,95645,964,52088,9412,2544,2.0
25,200.0,95645,964,52088,9412,2544,0.0
26,200.0,95645,964,52088,9412,2544,1.0
27,202.0,88845,1050,49714,9044,2339,1.0
28,202.0,88845,1050,49714,9044,2339,0.0
29,202.0,88845,1050,49714,9044,2339,1.0
30,202.0,88845,1050,49714,9044,2339,1.0
31,202.0,88845,1050,49714,9044,2339,1.0
32,202.0,88845,1050,49714,9044,2339,1.0
33,204.0,98285,1295,47003,9209,2658,1.0
34,204.0,98285,1295,47003,9209,2658,0.0
35,204.0,98285,1295,47003,9209,2658,1.0
36,204.0,98285,1295,47003,9209,2658,1.0
37,204.0,98285,1295,47003,9209,2658,1.0
38,204.0,98285,1295,47003,9209,2658,1.0
39,204.0,98285,1295,47003,9209,2658,1.0
40,206.0,98268,1130,53416,9996,2316,1.0
41,206.0,98268,1130,53416,9996,2316,1.0
42,206.0,98268,1130,53416,9996,2316,1.0
43,206.0,98268,1130,53416,9996,2316,1.0
44,206.0,98268,1130,53416,9996,2316,1.0
45,206.0,98268,1130,53416,9996,2316,1.0
46,206.0,98268,1130,53416,9996,2316,1.0
47,206.0,98268,1130,53416,9996,2316,1.0
48,206.0,98268,1130,53416,9996,2316,1.0
49,206.0,98268,1130,53416,9996,2316,1.0
50,206.0,98268,1130,53416,9996,2316,1.0
51,206.0,98268,1130,53416,9996,2316,1.0
52,206.0,98268,1130,53416,9996,2316,1.0
53,206.0,98268,1130,53416,9996,2316,1.0
54,206.0,98268,1130,53416,9996,2316,1.0
55,206.0,98268,1130,53416,9996,2316,1.0
56,208.0,95419,1189,55815,9835,2242,1.0
57,208.0,95419,1189,55815,9835,2242,2.0
58,208.0,95419,1189,55815,9835,2242,2.0
59,208.0,95419,1189,55815,9835,2242,0.0
60,208.0,95419,1189,55815,9835,2242,1.0
61,208.0,95419,1189,55815,9835,2242,0.0
62,208.0,95419,1189,55815,9835,2242,1.0
63,208.0,95419,1189,55815,9835,2242,1.0
64,208.0,95419,1189,55815,9835,2242,1.0
65,208.0,95419,1189,55815,9835,2242,1.0
66,208.0,95419,1189,55815,9835,2242,1.0
67,208.0,95419,1189,55815,9835,2242,1.0
68,208.0,95419,1189,55815,9835,2242,1.0
69,210.0,85120,1255,46647,9838,1747,1.0
70,210.0,85120,1255,46647,9838,1747,1.0
71,210.0,85120,1255,46647,9838,1747,2.0
72,210.0,85120,1255,46647,9838,1747,2.0
73,210.0,85120,1255,46647,9838,1747,2.0
74,210.0,85120,1255,46647,9838,1747,0.0
75,210.0,85120,1255,46647,9838,1747,1.0
76,210.0,85120,1255,46647,9838,1747,0.0
77,210.0,85120,1255,46647,9838,1747,1.0
78,210.0,85120,1255,46647,9838,1747,1.0
79,210.0,85120,1255,46647,9838,1747,1.0
80,210.0,85120,1255,46647,9838,1747,1.0
81,210.0,85120,1255,46647,9838,1747,1.0
82,210.0,85120,1255,46647,9838,1747,1.0
83,210.0,85120,1255,46647,9838,1747,1.0
84,210.0,85120,1255,46647,9838,1747,1.0
85,210.0,85120,1255,46647,9838,1747,1.0
86,212.0,80884,1365,41578,8393,2923,1.0
87,212.0,80884,1365,41578,8393,2923,1.0
88,212.0,80884,1365,41578,8393,2923,1.0
89,212.0,80884,1365,41578,8393,2923,1.0
90,212.0,80884,1365,41578,8393,2923,2.0
91,212.0,80884,1365,41578,8393,2923,1.0
92,212.0,80884,1365,41578,8393,2923,1.0
93,212.0,80884,1365,41578,8393,2923,1.0
94,212.0,80884,1365,41578,8393,2923,1.0
95,212.0,80884,1365,41578,8393,2923,1.0
96,212.0,80884,1365,41578,8393,2923,1.0
97,212.0,80884,1365,41578,8393,2923,1.0
98,212.0,80884,1365,41578,8393,2923,0.0
99,214.0,72281,1418,39301,7923,3110,1.0
100,214.0,72281,1418,39301,7923,3110,1.0
101,214.0,72281,1418,39301,7923,3110,0.0
102,214.0,72281,1418,39301,7923,3110,0.0
103,214.0,72281,1418,39301,7923,3110,0.0
104,214.0,72281,1418,39301,7923,3110,0.0
105,214.0,72281,1418,39301,7923,3110,1.0
106,214.0,72281,1418,39301,7923,3110,1.0
107,214.0,72281,1418,39301,7923,3110,0.0
108,214.0,72281,1418,39301,7923,3110,0.0
109,214.0,72281,1418,39301,7923,3110,1.0
110,214.0,72281,1418,39301,7923,3110,0.0
111,214.0,72281,1418,39301,7923,3110,1.0
112,214.0,72281,1418,39301,7923,3110,1.0
113,216.0,79719,1861,44624,8719,1861,1.0
114,216.0,79719,1861,44624,8719,1861,1.0
115,218.0,76169,2057,39639,8218,1980,0.0
116,218.0,76169,2057,39639,8218,1980,0.0
117,218.0,76169,2057,39639,8218,1980,0.0
118,220.0,65508,1377,41327,8782,1930,1.0
119,220.0,65508,1377,41327,8782,1930,1.0
120,220.0,65508,1377,41327,8782,1930,0.0
121,220.0,65508,1377,41327,8782,1930,0.0
122,220.0,65508,1377,41327,8782,1930,1.0
123,220.0,65508,1377,41327,8782,1930,1.0
124,220.0,65508,1377,41327,8782,1930,2.0
125,220.0,65508,1377,41327,8782,1930,1.0
126,220.0,65508,1377,41327,8782,1930,1.0
127,222.0,70167,956,53850,9686,2613,1.0
128,222.0,70167,956,53850,9686,2613,1.0
129,222.0,70167,956,53850,9686,2613,0.0
130,222.0,70167,956,53850,9686,2613,0.0
131,222.0,70167,956,53850,9686,2613,1.0
132,222.0,70167,956,53850,9686,2613,0.0
133,224.0,79766,616,54797,10596,2683,0.0
134,226.0,86753,692,47883,10689,2339,0.0
135,226.0,86753,692,47883,10689,2339,0.0
136,228.0,71974,696,48128,10339,1981,0.0
137,228.0,71974,696,48128,10339,1981,0.0
138,228.0,71974,696,48128,10339,1981,0.0
139,228.0,71974,696,48128,10339,1981,0.0
140,230.0,89856,1324,45648,9945,2655,1.0
141,230.0,89856,1324,45648,9945,2655,1.0
142,230.0,89856,1324,45648,9945,2655,1.0
143,230.0,89856,1324,45648,9945,2655,1.0
144,230.0,89856,1324,45648,9945,2655,2.0
145,230.0,89856,1324,45648,9945,2655,2.0
146,230.0,89856,1324,45648,9945,2655,2.0
147,230.0,89856,1324,45648,9945,2655,0.0
148,230.0,89856,1324,45648,9945,2655,1.0
149,230.0,89856,1324,45648,9945,2655,1.0
150,230.0,89856,1324,45648,9945,2655,0.0
151,230.0,89856,1324,45648,9945,2655,1.0
152,230.0,89856,1324,45648,9945,2655,1.0
153,230.0,89856,1324,45648,9945,2655,1.0
154,232.0,72693,761,43222,9750,2117,0.0
155,234.0,71628,807,34613,9269,1383,1.0
156,234.0,71628,807,34613,9269,1383,0.0
157,234.0,71628,807,34613,9269,1383,0.0
158,236.0,70548,1121,36346,9009,2601,2.0
159,236.0,70548,1121,36346,9009,2601,1.0
160,236.0,70548,1121,36346,9009,2601,1.0
161,236.0,70548,1121,36346,9009,2601,1.0
162,236.0,70548,1121,36346,9009,2601,0.0
163,236.0,70548,1121,36346,9009,2601,1.0
164,236.0,70548,1121,36346,9009,2601,1.0
165,236.0,70548,1121,36346,9009,2601,1.0
166,236.0,70548,1121,36346,9009,2601,2.0
167,236.0,70548,1121,36346,9009,2601,1.0
168,236.0,70548,1121,36346,9009,2601,1.0
169,236.0,70548,1121,36346,9009,2601,1.0
170,238.0,60616,822,38906,9383,1411,0.0
171,238.0,60616,822,38906,9383,1411,0.0
172,238.0,60616,822,38906,9383,1411,1.0
173,240.0,72455,960,33515,9350,829,1.0
174,240.0,72455,960,33515,9350,829,0.0
175,242.0,65075,845,27848,8700,815,0.0
176,242.0,65075,845,27848,8700,815,0.0
177,242.0,65075,845,27848,8700,815,0.0
178,242.0,65075,845,27848,8700,815,0.0
179,244.0,57012,762,32640,8073,1449,0.0
180,246.0,82216,1058,41547,9428,1415,1.0
181,246.0,82216,1058,41547,9428,1415,1.0
182,246.0,82216,1058,41547,9428,1415,0.0
183,246.0,82216,1058,41547,9428,1415,1.0
184,246.0,82216,1058,41547,9428,1415,1.0
185,246.0,82216,1058,41547,9428,1415,0.0
186,246.0,82216,1058,41547,9428,1415,1.0
187,246.0,82216,1058,41547,9428,1415,0.0
188,246.0,82216,1058,41547,9428,1415,1.0
189,246.0,82216,1058,41547,9428,1415,1.0
190,246.0,82216,1058,41547,9428,1415,1.0
191,248.0,95810,989,59927,10749,3368,1.0
192,248.0,95810,989,59927,10749,3368,2.0
193,248.0,95810,989,59927,10749,3368,1.0
194,248.0,95810,989,59927,10749,3368,0.0
195,248.0,95810,989,59927,10749,3368,0.0
196,248.0,95810,989,59927,10749,3368,1.0
197,248.0,95810,989,59927,10749,3368,1.0
198,250.0,114122,1274,60592,11671,3905,1.0
199,250.0,114122,1274,60592,11671,3905,1.0
200,250.0,114122,1274,60592,11671,3905,0.0
201,250.0,114122,1274,60592,11671,3905,1.0
202,250.0,114122,1274,60592,11671,3905,1.0
203,250.0,114122,1274,60592,11671,3905,1.0
204,250.0,114122,1274,60592,11671,3905,1.0
205,250.0,114122,1274,60592,11671,3905,1.0
206,250.0,114122,1274,60592,11671,3905,1.0
207,250.0,114122,1274,60592,11671,3905,1.0
208,250.0,114122,1274,60592,11671,3905,1.0
209,250.0,114122,1274,60592,11671,3905,1.0
210,252.0,60241,1311,33229,8110,2206,1.0
211,252.0,60241,1311,33229,8110,2206,1.0
212,252.0,60241,1311,33229,8110,2206,1.0
213,252.0,60241,1311,33229,8110,2206,1.0
214,252.0,60241,1311,33229,8110,2206,1.0
215,252.0,60241,1311,33229,8110,2206,1.0
216,252.0,60241,1311,33229,8110,2206,2.0
217,252.0,60241,1311,33229,8110,2206,0.0
218,252.0,60241,1311,33229,8110,2206,1.0
219,252.0,60241,1311,33229,8110,2206,1.0
220,252.0,60241,1311,33229,8110,2206,0.0
221,252.0,60241,1311,33229,8110,2206,1.0
222,252.0,60241,1311,33229,8110,2206,0.0
223,252.0,60241,1311,33229,8110,2206,1.0
224,252.0,60241,1311,33229,8110,2206,1.0
225,252.0,60241,1311,33229,8110,2206,1.0
226,252.0,60241,1311,33229,8110,2206,1.0
227,254.0,64464,1146,37685,7589,1964,1.0
228,254.0,64464,1146,37685,7589,1964,1.0
