,position_corr,Ca,Si,Fe,Sr,Ti,clusters
0,24.11,91191,2474,37389,5350,3175,0
1,26.11,101940,1628,58569,10336,2440,1
2,26.11,101940,1628,58569,10336,2440,2
3,26.11,101940,1628,58569,10336,2440,2
4,26.11,101940,1628,58569,10336,2440,2
5,26.11,101940,1628,58569,10336,2440,0
6,26.11,101940,1628,58569,10336,2440,1
7,28.11,145708,1474,114994,12992,4965,1
8,28.11,145708,1474,114994,12992,4965,1
9,28.11,145708,1474,114994,12992,4965,0
10,28.11,145708,1474,114994,12992,4965,1
11,30.11,141232,1270,121665,13254,5926,1
12,30.11,141232,1270,121665,13254,5926,1
13,30.11,141232,1270,121665,13254,5926,1
14,30.11,141232,1270,121665,13254,5926,2
15,30.11,141232,1270,121665,13254,5926,2
16,30.11,141232,1270,121665,13254,5926,1
17,30.11,141232,1270,121665,13254,5926,1
18,30.11,141232,1270,121665,13254,5926,1
19,30.11,141232,1270,121665,13254,5926,2
20,30.11,141232,1270,121665,13254,5926,1
21,30.11,141232,1270,121665,13254,5926,1
22,30.11,141232,1270,121665,13254,5926,1
23,30.11,141232,1270,121665,13254,5926,1
24,30.11,141232,1270,121665,13254,5926,1
25,30.11,141232,1270,121665,13254,5926,0
26,30.11,141232,1270,121665,13254,5926,1
27,32.11,147056,1322,125055,13102,5213,1
28,32.11,147056,1322,125055,13102,5213,1
29,32.11,147056,1322,125055,13102,5213,2
30,32.11,147056,1322,125055,13102,5213,2
31,32.11,147056,1322,125055,13102,5213,1
32,32.11,147056,1322,125055,13102,5213,1
33,32.11,147056,1322,125055,13102,5213,1
34,32.11,147056,1322,125055,13102,5213,1
35,32.11,147056,1322,125055,13102,5213,1
36,32.11,147056,1322,125055,13102,5213,1
37,32.11,147056,1322,125055,13102,5213,1
38,32.11,147056,1322,125055,13102,5213,2
39,32.11,147056,1322,125055,13102,5213,1
40,32.11,147056,1322,125055,13102,5213,1
41,32.11,147056,1322,125055,13102,5213,1
42,34.11,144230,1228,120927,13158,5135,1
43,34.11,144230,1228,120927,13158,5135,1
44,34.11,144230,1228,120927,13158,5135,1
45,34.11,144230,1228,120927,13158,5135,1
46,34.11,144230,1228,120927,13158,5135,1
47,34.11,144230,1228,120927,13158,5135,1
48,34.11,144230,1228,120927,13158,5135,1
49,34.11,144230,1228,120927,13158,5135,1
50,34.11,144230,1228,120927,13158,5135,1
51,34.11,144230,1228,120927,13158,5135,1
52,34.11,144230,1228,120927,13158,5135,1
53,34.11,144230,1228,120927,13158,5135,1
54,36.11,153344,1335,119451,12858,5418,1
55,36.11,153344,1335,119451,12858,5418,1
56,36.11,153344,1335,119451,12858,5418,1
57,36.11,153344,1335,119451,12858,5418,2
58,36.11,153344,1335,119451,12858,5418,1
59,36.11,153344,1335,119451,12858,5418,1
60,36.11,153344,1335,119451,12858,5418,1
61,36.11,153344,1335,119451,12858,5418,1
62,36.11,153344,1335,119451,12858,5418,0
63,36.11,153344,1335,119451,12858,5418,1
64,36.11,153344,1335,119451,12858,5418,1
65,36.11,153344,1335,119451,12858,5418,1
66,38.11,127162,1253,83501,12297,3334,1
67,38.11,127162,1253,83501,12297,3334,1
68,38.11,127162,1253,83501,12297,3334,1
69,38.11,127162,1253,83501,12297,3334,2
70,38.11,127162,1253,83501,12297,3334,2
71,38.11,127162,1253,83501,12297,3334,2
72,38.11,127162,1253,83501,12297,3334,2
73,38.11,127162,1253,83501,12297,3334,1
74,38.11,127162,1253,83501,12297,3334,2
75,38.11,127162,1253,83501,12297,3334,1
76,38.11,127162,1253,83501,12297,3334,1
77,38.11,127162,1253,83501,12297,3334,1
78,38.11,127162,1253,83501,12297,3334,1
79,38.11,127162,1253,83501,12297,3334,2
80,38.11,127162,1253,83501,12297,3334,2
81,38.11,127162,1253,83501,12297,3334,1
82,38.11,127162,1253,83501,12297,3334,1
83,38.11,127162,1253,83501,12297,3334,1
84,40.11,141113,2434,71401,12169,3979,0
85,42.11,116881,3029,45463,10552,1543,0
86,42.11,116881,3029,45463,10552,1543,0
87,44.11,106959,3168,26510,8655,1566,0
88,44.11,106959,3168,26510,8655,1566,0
89,46.11,162278,2872,31607,10576,705,1
90,46.11,162278,2872,31607,10576,705,0
91,48.11,108242,3951,33412,9473,1332,0
92,50.11,184292,2841,36474,12280,691,1
93,50.11,184292,2841,36474,12280,691,0
94,50.11,184292,2841,36474,12280,691,1
95,52.11,177395,2761,28234,14022,489,2
96,52.11,177395,2761,28234,14022,489,0
97,52.11,177395,2761,28234,14022,489,0
98,54.11,109595,3708,28641,8621,1495,0
99,56.11,146690,3291,37836,10918,1401,0
100,56.11,146690,3291,37836,10918,1401,0
101,58.11,184801,2630,40190,13164,752,0
102,60.11,168200,2601,26104,11040,695,0
103,60.11,168200,2601,26104,11040,695,0
104,62.11,162467,3268,32773,11176,1193,0
105,62.11,162467,3268,32773,11176,1193,0
106,64.11,171569,2935,31263,12054,949,0
107,64.11,171569,2935,31263,12054,949,0
108,66.11,140012,3227,32178,11325,1198,0
109,68.11,155747,2733,33162,11841,1334,0
110,68.11,155747,2733,33162,11841,1334,0
111,70.11,162454,2557,35176,11702,828,2
112,70.11,162454,2557,35176,11702,828,0
113,70.11,162454,2557,35176,11702,828,0
114,72.11,174696,2542,31384,12748,1295,0
115,74.11,146577,2811,31974,11107,1616,0
116,76.11,113472,3366,33446,8592,1302,0
117,78.11,117242,3473,31880,9327,1699,0
118,78.11,117242,3473,31880,9327,1699,0
119,80.11,127436,3350,34269,10164,1738,0
120,82.11,136274,3205,34252,10274,1025,0
121,84.11,115713,3392,34630,9360,1894,0
122,86.11,136491,3430,26971,10425,1634,0
123,88.11,128883,3314,32885,10635,1196,0
124,88.11,128883,3314,32885,10635,1196,0
125,90.11,164656,2842,41779,11772,1522,0
126,92.11,125393,3217,40367,9776,1869,0
127,94.11,115845,3402,37126,9177,1678,0
128,96.11,118058,3273,36943,9838,2260,0
129,98.11,131059,3135,34650,9693,1900,0
130,100.11,149269,1741,64896,12567,3414,2
131,100.11,149269,1741,64896,12567,3414,2
132,100.11,149269,1741,64896,12567,3414,1
133,100.11,149269,1741,64896,12567,3414,2
134,100.11,149269,1741,64896,12567,3414,0
135,100.11,149269,1741,64896,12567,3414,0
136,102.11,131574,2299,46851,10677,2595,0
137,104.11,121242,2620,36275,9700,1193,2
138,104.11,121242,2620,36275,9700,1193,0
139,104.11,121242,2620,36275,9700,1193,0
140,106.11,125181,3170,37425,9345,1336,0
141,108.11,108376,2983,35458,8689,1425,0
142,110.11,131390,3016,39938,9655,2174,0
143,112.11,155823,3026,38210,12706,1063,0
144,114.11,165915,2468,39283,12342,1614,0
145,116.11,148660,2854,42086,11617,2165,0
146,118.11,162149,2874,41332,11381,1565,0
147,120.11,152133,3100,30873,11508,862,0
148,122.11,123870,3340,33969,10121,2264,0
149,124.11,108603,3312,43228,9386,1769,0
150,126.11,155533,2838,46004,10586,1652,0
151,128.11,138805,2993,38760,10685,1824,0
152,130.11,163542,2769,41024,11719,1721,0
153,132.11,174842,2737,36395,11988,1664,0
154,134.11,143404,3291,33494,12178,1433,0
155,134.11,143404,3291,33494,12178,1433,0
156,136.11,110310,3771,37717,9632,2134,0
157,138.11,133711,3567,35486,10673,2014,0
158,140.11,162973,3343,37511,11740,1292,0
159,140.11,162973,3343,37511,11740,1292,0
