,Si,clusters,filename
0,1176,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000000.spe
1,1213,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000001.spe
2,1248,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000002.spe
3,1269,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000003.spe
4,1392,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000004.spe
5,1292,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000005.spe
6,1243,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000006.spe
7,1272,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000007.spe
8,1348,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000008.spe
9,1258,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000009.spe
10,1236,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000010.spe
11,1332,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000011.spe
12,1220,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000012.spe
13,1311,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000013.spe
14,1348,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000014.spe
15,1353,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000015.spe
16,1250,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000016.spe
17,1209,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000017.spe
18,1245,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000018.spe
19,1435,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000019.spe
20,1330,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000020.spe
21,1236,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000021.spe
22,1279,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000022.spe
23,1273,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000023.spe
24,1245,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000024.spe
25,1475,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000025.spe
