Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000000.spe	178.00	7.06	0	0.010270	-0.010164	0.009073	0.081458	64224	1.61	56	648	0	110	4111	1276	3442	82461	2102	54	696	710	41150	73	660	131	165	107	0	996	765	9044	159	2065	436	13	138	221	1441	3600	161	249	301	433	287	165	74198	20394	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000001.spe	180.00	7.06	0	0.010270	-0.010164	0.009073	0.081458	64562	1.54	42	611	0	114	4182	969	3783	73028	1990	79	967	668	48649	246	584	34	187	0	0	902	1026	8505	0	2575	352	0	148	284	1508	3538	249	135	193	479	167	0	74281	20517	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000002.spe	182.00	7.08	0	0.010270	-0.010164	0.009073	0.081458	65883	1.66	70	503	0	121	4517	850	3579	71085	3004	135	885	883	50521	0	547	102	277	94	0	1277	1069	8982	100	3054	363	34	77	252	1535	3660	239	199	290	581	119	1518	75466	23226	0.164	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000003.spe	184.00	7.13	0	0.010270	-0.010164	0.009073	0.081458	67213	1.65	45	483	0	105	4503	862	3314	80380	2446	199	780	806	52353	21	566	100	256	122	0	1231	1023	9728	66	3000	362	9	87	166	1411	4147	303	0	458	466	222	330	75066	19669	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000004.spe	186.00	7.17	0	0.010270	-0.010164	0.009073	0.081458	66431	1.60	56	543	0	173	4534	1109	3456	76594	1954	111	786	835	47609	0	661	122	236	140	0	1172	1006	9645	74	1868	392	41	90	171	1462	3770	151	313	489	544	116	1124	76073	21459	0.165	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000005.spe	188.00	7.20	0	0.010270	-0.010164	0.009073	0.081458	64984	1.63	76	878	0	108	3834	797	3645	80174	2837	128	679	804	47040	0	591	105	242	0	0	910	1051	8641	0	2111	382	30	79	139	1416	3697	183	298	337	271	219	567	72404	20460	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000006.spe	190.00	7.25	0	0.010270	-0.010164	0.009073	0.081458	64642	1.63	37	972	0	120	3758	1147	3533	85448	1986	40	718	694	43683	0	729	216	289	160	0	865	887	8008	0	1794	407	7	161	186	1368	4007	155	204	340	517	135	327	72798	19347	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000007.spe	192.00	7.30	0	0.010270	-0.010164	0.009073	0.081458	64016	1.62	63	565	0	74	4170	1023	3386	68953	1820	141	739	676	38864	0	585	169	291	159	0	902	945	8176	109	1858	345	69	126	253	1296	3886	132	157	319	453	31	998	76813	24119	0.167	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000008.spe	194.00	7.32	0	0.010270	-0.010164	0.009073	0.081458	69604	1.62	83	949	0	85	4018	1154	4542	95159	3256	44	781	832	49346	0	748	71	306	200	0	1122	1301	9003	17	2064	481	0	194	258	1417	4016	254	339	167	612	340	801	78517	24143	0.166	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000009.spe	196.00	7.34	0	0.010270	-0.010164	0.009073	0.081458	68997	1.60	62	899	0	118	3887	1108	4582	98652	2384	156	711	849	53615	0	598	107	310	184	0	1053	1199	8819	154	1668	359	88	99	275	1348	4084	166	139	190	604	296	593	77372	20747	0.164	
