x Distance [mm]	Height [cm]
 -1.730 	 3.627 
 -1.545 	 3.627 
 -1.355 	 3.655 
 -1.165 	 3.684 
 -0.980 	 3.732 
 -0.790 	 3.754 
 -0.605 	 3.204 
 -0.415 	 1.087 
 -0.225 	 1.678 
 -0.040 	 1.850 
 0.150 	 1.888 
 0.335 	 1.883 
 0.525 	 1.876 
 0.715 	 1.879 
 0.900 	 1.856 
 1.090 	 1.824 
 1.275 	 1.780 
 1.465 	 1.747 
 1.655 	 1.778 
 1.840 	 1.795 
 2.030 	 1.822 
 2.215 	 1.841 
 2.405 	 1.856 
 2.595 	 1.846 
 2.780 	 1.846 
 2.970 	 1.843 
 3.155 	 1.839 
 3.345 	 1.853 
 3.535 	 1.827 
 3.720 	 1.713 
 3.910 	 1.601 
 4.095 	 1.414 
 4.285 	 1.363 
 4.475 	 1.364 
 4.660 	 1.358 
 4.850 	 1.375 
 5.035 	 1.393 
 5.225 	 1.420 
 5.415 	 1.429 
 5.600 	 1.564 
 5.790 	 1.799 
 5.975 	 2.015 
 6.165 	 2.085 
 6.355 	 1.830 
 6.540 	 1.442 
 6.730 	 1.050 
 6.915 	 1.021 
 7.105 	 1.013 
 7.295 	 0.994 
 7.480 	 0.987 
 7.670 	 0.980 
 7.855 	 1.045 
 8.045 	 1.178 
 8.235 	 0.975 
 8.420 	 1.038 
 8.610 	 1.185 
 8.795 	 1.531 
 8.985 	 2.037 
 9.175 	 5.918 
 9.360 	 5.934 
 9.550 	 4.664 
 9.735 	 1.315 
 9.925 	 1.322 
 10.115 	 1.318 
 10.300 	 1.325 
 10.490 	 1.354 
 10.675 	 1.386 
 10.865 	 1.421 
 11.055 	 1.438 
 11.240 	 1.464 
 11.430 	 1.495 
 11.615 	 1.540 
 11.805 	 1.662 
 11.995 	 1.841 
 12.180 	 1.902 
 12.370 	 1.902 
 12.555 	 1.886 
 12.745 	 1.912 
 12.935 	 1.983 
 13.120 	 2.070 
 13.310 	 2.158 
 13.495 	 2.313 
 13.685 	 2.424 
 13.875 	 2.552 
 14.060 	 3.884 
 14.250 	 8.458 
 14.435 	 5.207 
 14.625 	 5.574 
 14.815 	 5.557 
 15.000 	 5.561 
 15.190 	 5.576 
 15.375 	 6.411 
 15.565 	 9.618 
 15.755 	 9.614 
 15.940 	 9.616 
 16.130 	 9.618 
 16.315 	 9.616 
 16.505 	 9.620 
 16.695 	 9.623 
 16.880 	 9.618 
 17.070 	 9.616 
 17.255 	 9.618 
 17.445 	 9.614 
 17.635 	 9.614 
 17.820 	 9.614 
 18.010 	 9.615 
 18.195 	 9.618 
 18.385 	 9.614 
 18.575 	 9.614 
 18.760 	 9.617 
 18.950 	 9.621 
 19.135 	 9.615 
 19.325 	 9.618 
 19.515 	 9.614 
 19.700 	 9.614 
 19.890 	 9.614 
 20.075 	 9.617 
 20.265 	 9.622 
 20.455 	 9.614 
 20.640 	 9.617 
 20.830 	 9.621 
 21.015 	 9.614 
 21.205 	 9.616 
 21.395 	 9.618 
 21.580 	 9.614 
