Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000000.spe	100.00	7.94	1	0.010270	-0.010164	0.009073	0.081458	81131	1.66	94	1832	0	105	6802	1183	6805	159503	3388	80	820	927	66527	0	651	91	462	0	0	1471	1286	12862	277	2196	702	66	109	283	1437	4038	246	248	590	782	355	742	79152	24911	0.167	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000001.spe	102.00	7.96	1	0.010270	-0.010164	0.009073	0.081458	78813	1.87	98	3131	0	129	7125	1162	5584	142222	2836	251	869	786	48035	0	697	106	614	252	0	754	1014	10558	0	3406	539	83	70	218	1576	4530	155	157	430	352	294	415	84930	25972	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000002.spe	104.00	7.99	1	0.010270	-0.010164	0.009073	0.081458	74629	1.81	44	3321	0	111	2603	1360	5538	131915	1240	184	556	527	36421	0	737	56	220	181	0	686	1041	9742	88	3462	605	43	180	331	1535	4420	231	294	237	453	270	667	84383	25572	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000003.spe	106.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	77042	1.89	130	4129	0	111	2313	1224	5502	131870	1339	202	955	718	38135	29	755	102	161	119	0	796	1127	9181	127	1062	524	156	128	395	1460	4689	161	331	452	493	218	0	89680	27601	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000004.spe	108.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	75582	1.87	75	3929	0	76	2446	1217	5729	119394	1598	122	912	768	36401	336	797	187	225	250	128	587	1254	8459	0	1034	567	53	121	340	1561	4823	30	251	168	308	226	0	88720	26580	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000005.spe	110.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	78977	2.13	114	4010	0	59	2481	1232	5668	143134	2089	222	1037	630	41747	0	683	47	222	152	0	854	1138	9858	0	1015	628	111	90	314	1501	4751	267	251	335	723	254	740	88771	25359	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000006.spe	112.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	79884	1.99	74	3878	0	112	2426	1229	5963	172026	1333	200	773	621	38539	0	782	49	223	141	0	580	1331	12705	0	739	823	48	158	224	1422	4644	55	107	0	609	191	572	85417	24939	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000007.spe	114.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	79124	1.80	145	3045	0	29	2339	1246	5294	179497	1761	175	650	653	40163	0	719	0	163	192	0	635	1139	12163	0	1934	755	29	137	247	1578	4198	138	223	170	652	206	545	82972	21886	0.168	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000008.spe	116.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	79826	2.01	79	3535	0	101	2505	1253	5798	158160	2181	128	751	649	42943	73	690	239	246	110	0	671	1040	11382	0	1644	792	151	86	310	1352	4618	178	170	381	466	333	156	86921	23865	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000009.spe	118.00	7.99	1	0.010270	-0.010164	0.009073	0.081458	81768	2.09	139	3810	0	104	2387	1323	6108	176908	1638	173	1131	963	42821	443	735	54	319	255	0	699	1168	11847	39	1296	814	96	68	309	1423	4490	160	177	174	344	183	0	88565	24771	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000010.spe	120.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	77829	1.87	126	4063	0	79	2198	1257	4991	161784	1081	226	968	593	31706	0	729	184	152	290	0	835	980	11497	0	775	713	135	127	249	1457	5013	296	486	401	624	143	621	85720	25217	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000011.spe	122.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	75923	1.89	103	4413	0	100	2101	1183	4971	132206	2242	117	706	828	34243	238	852	144	252	69	0	607	1180	10160	0	1198	615	0	145	253	1693	4531	256	127	69	378	170	46	87040	25514	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000012.spe	124.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	76702	1.84	117	4218	0	68	2262	1170	5334	119498	1745	143	744	842	44308	0	804	128	217	188	0	672	1273	9314	0	1599	496	77	110	300	1623	4729	44	170	115	455	122	365	88028	24043	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000013.spe	126.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	81417	2.00	144	3440	0	89	2502	1229	5238	167671	1985	163	737	880	47271	15	876	117	237	237	0	654	1229	10750	0	2356	810	65	166	269	1524	4994	309	228	324	567	201	317	85478	25680	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000014.spe	128.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	78710	2.06	80	3861	0	64	2447	1164	5264	149688	1991	119	1124	693	39521	511	820	329	367	61	0	909	1020	10711	48	2302	801	70	106	330	1476	4675	45	292	497	382	344	0	88518	26576	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000015.spe	130.00	7.96	1	0.010270	-0.010164	0.009073	0.081458	80704	1.91	52	3454	0	94	2514	1284	5459	175764	1871	143	837	705	41365	186	774	220	214	286	0	2356	783	11961	16	1993	730	40	121	280	1334	4216	145	304	630	281	217	376	86235	27907	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000016.spe	132.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	81109	2.17	107	3692	0	69	2190	1311	4949	186059	1575	91	818	858	37725	0	860	76	170	85	0	843	1019	12048	0	1248	798	106	70	265	1528	4831	301	54	176	527	158	363	87040	26224	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000017.spe	134.00	7.96	1	0.010270	-0.010164	0.009073	0.081458	78555	2.03	160	4358	0	64	2199	1229	5690	156216	1467	154	760	556	32883	0	768	116	132	210	0	620	757	12100	0	892	710	132	137	260	1286	5087	150	151	471	677	216	722	87824	25332	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000018.spe	136.00	7.95	1	0.010270	-0.010164	0.009073	0.081458	76168	1.90	21	4712	0	48	1981	1148	5320	119436	2536	178	782	807	39091	0	932	181	357	255	0	645	1268	9427	0	2082	474	179	123	362	1379	4896	189	163	159	575	223	429	87459	26087	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP2\XRF data\L000019.spe	138.00	7.94	1	0.010270	-0.010164	0.009073	0.081458	78874	2.07	78	4545	0	58	1980	1182	5157	145532	2270	159	760	662	36312	431	718	125	131	274	0	632	1051	10691	214	3066	673	171	151	280	1486	5350	390	73	538	106	69	0	88684	25432	0.173	
